Region,Year,ID,Category,Sub Category 1,Sub Category 2,MI (40) (Adult),MI (40) (Child),ID(42) (Adult),ID(42) (Child),DD(43) (Adult),DD(43) (Child),BI (47) (Adult),BI (47) (Child),Other (Adult),Other (Child),Total
Rolling Hills Community Services,2021,42305,Core,Treatment,Psychotherapeutic Treatment - Outpatient,1,,,,,,,,,,1
Rolling Hills Community Services,2021,42306,Core,Treatment,Psychotherapeutic Treatment - Medication Prescribing,1,,,,,,,,,,1
Rolling Hills Community Services,2021,43301,Core,Treatment,Evaluation (Non Crisis) - Assessment and Evaluation,1,,,,,,,,,,1
Rolling Hills Community Services,2021,71319,Core,Treatment,State MHI Inpatient - Per diem charges,22,,,,,,,,,,22
Rolling Hills Community Services,2021,44301,Core,Basic Crisis Response,Crisis Evaluation,275,134,,,,,,,,,409
Rolling Hills Community Services,2021,44302,Core,Basic Crisis Response,23 Hour Observation and Holding,60,,,,,,,,,,60
Rolling Hills Community Services,2021,44307,Core,Basic Crisis Response,Mobile Response,1,,,,,,,,,,1
Rolling Hills Community Services,2021,44313,Core,Basic Crisis Response,Crisis Stabilization Residential Service (CSRS),101,1,,,,,,,,,102
Rolling Hills Community Services,2021,32329,Core,Support for Community Living,Support Services - Supported Community Living,9,,3,,3,,,,,,15
Rolling Hills Community Services,2021,50367,Core,Support For Employment,Day Habilitation,2,,1,,1,,,,,,4
Rolling Hills Community Services,2021,50368,Core,Support For Employment,Voc/Day - Individual Supported Employment,26,,18,,2,,,,,,46
Rolling Hills Community Services,2021,45366,Core,Recovery Services,Peer Family Support - Peer Support Services,1,,,,,,,,,,1
Rolling Hills Community Services,2021,42398,Core,Core Evidence Based Treatment,Assertive Community Treatment (ACT),1,,,,,,,,,,1
Rolling Hills Community Services,2021,74XXX,Mandated,,CommitmentRelated (except 301),472,28,,,,,,,,,500
Rolling Hills Community Services,2021,75XXX,Mandated,,Mental health advocate,775,2,,,,,,,,,777
Rolling Hills Community Services,2021,25XXX,Core Plus,Justice System Involved Services,Coordination services,109,,,,,,,,,,109
Rolling Hills Community Services,2021,44346,Core Plus,Justice System Involved Services,Crisis Services - Telephone Crisis Service,1,,,,,,,,,,1
Rolling Hills Community Services,2021,46305,Core Plus,Justice System Involved Services,Mental Health Services in Jails,26,,,,,,,,,,26
Rolling Hills Community Services,2021,42366,Core Plus,Additional Core Evidence Based Treatment,Psychotherapeutic Treatment - Social Support Services,97,1,,,,,,,,,98
Rolling Hills Community Services,2021,4429,Other Informational Services,,Planning and Management Consultants (Non-Client Related),1,,,,,,,,,,1
Rolling Hills Community Services,2021,5373,Other Informational Services,,Public Education Services,1,,,,,,,,,,1
Rolling Hills Community Services,2021,22XXX,Community Living Support Services,,Services management,461,12,,,,,,,,,473
Rolling Hills Community Services,2021,23XXX,Community Living Support Services,,Crisis Care Coordination,1,,,,,,,,,,1
Rolling Hills Community Services,2021,31XXX,Community Living Support Services,,Transportation,1,,2,,1,,,,,,4
Rolling Hills Community Services,2021,32327,Community Living Support Services,,Support Services - Representative Payee,296,6,2,,,,,,,,304
Rolling Hills Community Services,2021,33340,Community Living Support Services,,Basic Needs - Rent Payments,2,,,,,,,,,,2
Rolling Hills Community Services,2021,33399,Community Living Support Services,,Basic Needs - Other,1,,,,,,,,,,1
Rolling Hills Community Services,2021,42310,Community Living Support Services,,Psychotherapeutic Treatment - Transitional Living Program,55,,,,,,,,,,55
Rolling Hills Community Services,2021,42396,Community Living Support Services,,Psychotherapeutic Treatment - Community Support Programs,6,,,,,,,,,,6
Rolling Hills Community Services,2021,42399,Community Living Support Services,,Psychotherapeutic Treatment - Other,11,85,25,,,,,,,,121
Rolling Hills Community Services,2021,63329,Community Living Support Services,,Comm Based Settings (1-5 Bed) - Supported Community Living,,,1,,,,,,,,1
Rolling Hills Community Services,2021,64XXX,Congregate Services,,RCF-6 and over beds,12,,,,,,,,,,12
Rolling Hills Community Services,2021,11XXX,Administration,,Direct Administration,,,,,,,,,1,,1
South Central Behavioral Health Region,2021,42305,Core,Treatment,Psychotherapeutic Treatment - Outpatient,4,,,,,,,,,,4
South Central Behavioral Health Region,2021,42306,Core,Treatment,Psychotherapeutic Treatment - Medication Prescribing,9,,,,,,,,,,9
South Central Behavioral Health Region,2021,43301,Core,Treatment,Evaluation (Non Crisis) - Assessment and Evaluation,18,2,,,,,,,,,20
South Central Behavioral Health Region,2021,71319,Core,Treatment,State MHI Inpatient - Per diem charges,5,,,,,,,,,,5
South Central Behavioral Health Region,2021,73319,Core,Treatment,Other Priv./Public Hospitals - Inpatient per diem charges,14,,,,,,,,,,14
South Central Behavioral Health Region,2021,44301,Core,Basic Crisis Response,Crisis Evaluation,180,63,,,,,,,,,243
South Central Behavioral Health Region,2021,44302,Core,Basic Crisis Response,23 Hour Observation and Holding,45,4,,,,,,,,,49
South Central Behavioral Health Region,2021,44307,Core,Basic Crisis Response,Mobile Response,23,11,,,,,,,,,34
South Central Behavioral Health Region,2021,44313,Core,Basic Crisis Response,Crisis Stabilization Residential Service (CSRS),32,2,,,,,,,,,34
South Central Behavioral Health Region,2021,32329,Core,Support for Community Living,Support Services - Supported Community Living,10,,,,,,,,,,10
South Central Behavioral Health Region,2021,32396,Core,Core Evidence Based Treatment,Supported Housing,10,,,,,,,,,,10
South Central Behavioral Health Region,2021,42398,Core,Core Evidence Based Treatment,Assertive Community Treatment (ACT),9,,,,,,,,,,9
South Central Behavioral Health Region,2021,74XXX,Mandated,,CommitmentRelated (except 301),235,7,,,,,,,,,242
South Central Behavioral Health Region,2021,75XXX,Mandated,,Mental health advocate,226,1,,,,,,,,,227
South Central Behavioral Health Region,2021,46305,Core Plus,Justice System Involved Services,Mental Health Services in Jails,316,3,,,,,,,,,319
South Central Behavioral Health Region,2021,42366,Core Plus,Additional Core Evidence Based Treatment,Psychotherapeutic Treatment - Social Support Services,246,1,,,,,,,,,247
South Central Behavioral Health Region,2021,22XXX,Community Living Support Services,,Services management,646,43,1,,,,,,,,690
South Central Behavioral Health Region,2021,31XXX,Community Living Support Services,,Transportation,50,2,,,,,,,,,52
South Central Behavioral Health Region,2021,33340,Community Living Support Services,,Basic Needs - Rent Payments,1,,,,,,,,,,1
South Central Behavioral Health Region,2021,33345,Community Living Support Services,,Basic Needs - Ongoing Rent Subsidy,31,,,,,,,,,,31
South Central Behavioral Health Region,2021,33399,Community Living Support Services,,Basic Needs - Other,1,,,,,,,,,,1
South Central Behavioral Health Region,2021,41306,Community Living Support Services,,Physiological Treatment - Prescription Medicine/Vaccines,9,,,,,,,,,,9
South Central Behavioral Health Region,2021,46306,Community Living Support Services,,Prescription Medication (Psychiatric Medications in Jail),300,2,,,,,,,,,302
South Central Behavioral Health Region,2021,64XXX,Congregate Services,,RCF-6 and over beds,9,,,,,,,,,,9
South Central Behavioral Health Region,2021,11XXX,Administration,,Direct Administration,,,,,,,,,1,,1
Southeast Iowa Link,2021,42305,Core,Treatment,Psychotherapeutic Treatment - Outpatient,3,8,,,,,,,,,11
Southeast Iowa Link,2021,42306,Core,Treatment,Psychotherapeutic Treatment - Medication Prescribing,1,,,,,,,,,,1
Southeast Iowa Link,2021,43301,Core,Treatment,Evaluation (Non Crisis) - Assessment and Evaluation,1,1,,,,,,,,,2
Southeast Iowa Link,2021,71319,Core,Treatment,State MHI Inpatient - Per diem charges,12,,,,,,,,,,12
Southeast Iowa Link,2021,44301,Core,Basic Crisis Response,Crisis Evaluation,614,131,,,,,,,,,745
Southeast Iowa Link,2021,44302,Core,Basic Crisis Response,23 Hour Observation and Holding,6,,,,,,,,,,6
Southeast Iowa Link,2021,44307,Core,Basic Crisis Response,Mobile Response,23,6,,,,,,,,,29
Southeast Iowa Link,2021,44312,Core,Basic Crisis Response,Crisis Stabilization Community Based Services (CSCBS),1,,,,,,,,,,1
Southeast Iowa Link,2021,44313,Core,Basic Crisis Response,Crisis Stabilization Residential Service (CSRS),71,1,,,,,,,,,72
Southeast Iowa Link,2021,44396,Core,Basic Crisis Response,Access Center start-up/sustainability/coordination,3,1,,,,,,,,,4
Southeast Iowa Link,2021,32329,Core,Support for Community Living,Support Services - Supported Community Living,10,,,,1,,,,,,11
Southeast Iowa Link,2021,50367,Core,Support For Employment,Day Habilitation,,,,,2,,,,,,2
Southeast Iowa Link,2021,50368,Core,Support For Employment,Voc/Day - Individual Supported Employment,2,,,,2,,,,,,4
Southeast Iowa Link,2021,50369,Core,Support For Employment,Voc/Day - Group Supported Employment,1,,,,1,,,,,,2
Southeast Iowa Link,2021,24376,Core,Service Coordination,Health Homes Coordination - Coordination Services,292,1,,,,,,,,,293
Southeast Iowa Link,2021,63309,Core,Sub-Acute Services,Sub Acute Services (1-5 Beds),1,,,,,,,,,,1
Southeast Iowa Link,2021,32396,Core,Core Evidence Based Treatment,Supported Housing,4,,,,,,,,,,4
Southeast Iowa Link,2021,42398,Core,Core Evidence Based Treatment,Assertive Community Treatment (ACT),1,,,,,,,,,,1
Southeast Iowa Link,2021,74XXX,Mandated,,CommitmentRelated (except 301),317,3,,,,,,,,,320
Southeast Iowa Link,2021,75XXX,Mandated,,Mental health advocate,434,16,,,,,,,,,450
Southeast Iowa Link,2021,25XXX,Core Plus,Justice System Involved Services,Coordination services,311,1,,,,,,,,,312
Southeast Iowa Link,2021,42366,Core Plus,Additional Core Evidence Based Treatment,Psychotherapeutic Treatment - Social Support Services,369,,9,,3,,,,,,381
Southeast Iowa Link,2021,4372,Other Informational Services,,Planning and/or Consultation Services (Client Related),3,,,,,,,,,,3
Southeast Iowa Link,2021,23XXX,Community Living Support Services,,Crisis Care Coordination,17,9,,,,,,,,,26
Southeast Iowa Link,2021,33340,Community Living Support Services,,Basic Needs - Rent Payments,13,,,,,,,,,,13
Southeast Iowa Link,2021,64329,Congregate Services,,Comm Based Settings (6+ Beds) - Supported Community Livin,1,,,,,,,,,,1
Southeast Iowa Link,2021,64XXX,Congregate Services,,RCF-6 and over beds,12,1,,,,,,,,,13
Sioux Rivers Regional MHDS,2021,42305,Core,Treatment,Psychotherapeutic Treatment - Outpatient,3,91,,,,,,,,,94
Sioux Rivers Regional MHDS,2021,42306,Core,Treatment,Psychotherapeutic Treatment - Medication Prescribing,511,114,,,,,,,,,625
Sioux Rivers Regional MHDS,2021,43301,Core,Treatment,Evaluation (Non Crisis) - Assessment and Evaluation,1,,,,,,,,,,1
Sioux Rivers Regional MHDS,2021,73319,Core,Treatment,Other Priv./Public Hospitals - Inpatient per diem charges,2,,,,,,,,,,2
Sioux Rivers Regional MHDS,2021,44301,Core,Basic Crisis Response,Crisis Evaluation,24,10,,,,,,,,,34
Sioux Rivers Regional MHDS,2021,44302,Core,Basic Crisis Response,23 Hour Observation and Holding,14,1,,,,,,,,,15
Sioux Rivers Regional MHDS,2021,44307,Core,Basic Crisis Response,Mobile Response,25,19,,,,,,,,,44
Sioux Rivers Regional MHDS,2021,44313,Core,Basic Crisis Response,Crisis Stabilization Residential Service (CSRS),13,1,,,,,,,,,14
Sioux Rivers Regional MHDS,2021,32329,Core,Support for Community Living,Support Services - Supported Community Living,2,,3,,,,,,,,5
Sioux Rivers Regional MHDS,2021,50367,Core,Support For Employment,Day Habilitation,,,5,1,,,,,,,6
Sioux Rivers Regional MHDS,2021,50368,Core,Support For Employment,Voc/Day - Individual Supported Employment,39,,114,12,1,,,,,,166
Sioux Rivers Regional MHDS,2021,45366,Core,Recovery Services,Peer Family Support - Peer Support Services,63,,,,,,,,,,63
Sioux Rivers Regional MHDS,2021,74XXX,Mandated,,CommitmentRelated (except 301),142,3,,,,,,,,,145
Sioux Rivers Regional MHDS,2021,75XXX,Mandated,,Mental health advocate,262,2,,,,,,,,,264
Sioux Rivers Regional MHDS,2021,46305,Core Plus,Justice System Involved Services,Mental Health Services in Jails,13,,,,,,,,,,13
Sioux Rivers Regional MHDS,2021,4372,Other Informational Services,,Planning and/or Consultation Services (Client Related),81,126,,,,,,,,,207
Sioux Rivers Regional MHDS,2021,5373,Other Informational Services,,Public Education Services,119,131,,,,,,,,,250
Sioux Rivers Regional MHDS,2021,22XXX,Community Living Support Services,,Services management,293,44,44,5,,,,,,,386
Sioux Rivers Regional MHDS,2021,31XXX,Community Living Support Services,,Transportation,8,,,,,,,,,,8
Sioux Rivers Regional MHDS,2021,33340,Community Living Support Services,,Basic Needs - Rent Payments,2,1,,,,,,,,,3
Sioux Rivers Regional MHDS,2021,33399,Community Living Support Services,,Basic Needs - Other,1,,,,,,,,,,1
Sioux Rivers Regional MHDS,2021,42396,Community Living Support Services,,Psychotherapeutic Treatment - Community Support Programs,3,,,,,,,,,,3
Sioux Rivers Regional MHDS,2021,64XXX,Congregate Services,,RCF-6 and over beds,20,,,,,,,,,,20
Southern Hills Regional Mental Health,2021,42305,Core,Treatment,Psychotherapeutic Treatment - Outpatient,103,49,,,,,,,,,152
Southern Hills Regional Mental Health,2021,71319,Core,Treatment,State MHI Inpatient - Per diem charges,1,,,,,,,,,,1
Southern Hills Regional Mental Health,2021,73319,Core,Treatment,Other Priv./Public Hospitals - Inpatient per diem charges,4,,,,,,,,,,4
Southern Hills Regional Mental Health,2021,44313,Core,Basic Crisis Response,Crisis Stabilization Residential Service (CSRS),34,,,,,,,,,,34
Southern Hills Regional Mental Health,2021,32329,Core,Support for Community Living,Support Services - Supported Community Living,12,,,,,,,,,,12
Southern Hills Regional Mental Health,2021,50362,Core,Support For Employment,Voc/Day - Prevocational Services,1,,,,,,,,,,1
Southern Hills Regional Mental Health,2021,50367,Core,Support For Employment,Day Habilitation,1,,,,,,,,,,1
Southern Hills Regional Mental Health,2021,50368,Core,Support For Employment,Voc/Day - Individual Supported Employment,1,,,,,,,,,,1
Southern Hills Regional Mental Health,2021,74XXX,Mandated,,CommitmentRelated (except 301),24,,,,,,,,,,24
Southern Hills Regional Mental Health,2021,22XXX,Community Living Support Services,,Services management,63,23,40,16,,,,,,,142
Southern Hills Regional Mental Health,2021,31XXX,Community Living Support Services,,Transportation,37,,,,,,,,,,37
Southern Hills Regional Mental Health,2021,33340,Community Living Support Services,,Basic Needs - Rent Payments,4,,,,,,,,,,4
Southern Hills Regional Mental Health,2021,42310,Community Living Support Services,,Psychotherapeutic Treatment - Transitional Living Program,5,,,,,,,,,,5
Southern Hills Regional Mental Health,2021,50360,Congregate Services,,Voc/Day - Sheltered Workshop Services,,,2,,,,,,,,2
Southern Hills Regional Mental Health,2021,64XXX,Congregate Services,,RCF-6 and over beds,12,,,,,,,,,,12
Southwest Iowa MHDS,2021,42305,Core,Treatment,Psychotherapeutic Treatment - Outpatient,46,,,,,,,,,,46
Southwest Iowa MHDS,2021,71319,Core,Treatment,State MHI Inpatient - Per diem charges,5,,,,,,,,,,5
Southwest Iowa MHDS,2021,73319,Core,Treatment,Other Priv./Public Hospitals - Inpatient per diem charges,5,,,,,,,,,,5
Southwest Iowa MHDS,2021,44301,Core,Basic Crisis Response,Crisis Evaluation,13,5,,,,,,,,,18
Southwest Iowa MHDS,2021,44307,Core,Basic Crisis Response,Mobile Response,297,117,,,,,,,,,414
Southwest Iowa MHDS,2021,44313,Core,Basic Crisis Response,Crisis Stabilization Residential Service (CSRS),104,2,,,,,,,,,106
Southwest Iowa MHDS,2021,32320,Core,Support for Community Living,Support Services - Home Health Aides,4,,,,,,,,,,4
Southwest Iowa MHDS,2021,32329,Core,Support for Community Living,Support Services - Supported Community Living,24,,2,,1,,,,,,27
Southwest Iowa MHDS,2021,50362,Core,Support For Employment,Voc/Day - Prevocational Services,5,,19,,,,,,,,24
Southwest Iowa MHDS,2021,50367,Core,Support For Employment,Day Habilitation,2,,2,,,,,,,,4
Southwest Iowa MHDS,2021,50368,Core,Support For Employment,Voc/Day - Individual Supported Employment,26,,23,,2,,,,,,51
Southwest Iowa MHDS,2021,50369,Core,Support For Employment,Voc/Day - Group Supported Employment,,,1,,,,,,,,1
Southwest Iowa MHDS,2021,4422,Core,Core Evidence Based Treatment,Consultation - Educational and Training Services,2,1,7,,,,,,,,10
Southwest Iowa MHDS,2021,42398,Core,Core Evidence Based Treatment,Assertive Community Treatment (ACT),15,,,,,,,,,,15
Southwest Iowa MHDS,2021,74XXX,Mandated,,CommitmentRelated (except 301),151,18,,,,,,,,,169
Southwest Iowa MHDS,2021,75XXX,Mandated,,Mental health advocate,246,1,,,,,,,,,247
Southwest Iowa MHDS,2021,25XXX,Core Plus,Justice System Involved Services,Coordination services,338,2,,,,,,,,,340
Southwest Iowa MHDS,2021,46305,Core Plus,Justice System Involved Services,Mental Health Services in Jails,42,,,,,,,,,,42
Southwest Iowa MHDS,2021,46425,Core Plus,Justice System Involved Services,Mental Health Court related expenses,32,,,,,,,,,,32
Southwest Iowa MHDS,2021,74301,Core Plus,Justice System Involved Services,Civil Commitment Prescreening,20,2,,,,,,,,,22
Southwest Iowa MHDS,2021,42366,Core Plus,Additional Core Evidence Based Treatment,Psychotherapeutic Treatment - Social Support Services,227,2,,,,,,,,,229
Southwest Iowa MHDS,2021,42397,Core Plus,Additional Core Evidence Based Treatment,Psychotherapeutic Treatment - Psychiatric Rehabilitation,1,,,,,,,,,,1
Southwest Iowa MHDS,2021,22XXX,Community Living Support Services,,Services management,593,66,,,,,,,,,659
Southwest Iowa MHDS,2021,31XXX,Community Living Support Services,,Transportation,34,,5,,1,,,,,,40
Southwest Iowa MHDS,2021,32326,Community Living Support Services,,Support Services - Guardian/Conservator,,,3,1,,,,,,,4
Southwest Iowa MHDS,2021,33340,Community Living Support Services,,Basic Needs - Rent Payments,18,,,,,,,,,,18
Southwest Iowa MHDS,2021,41305,Community Living Support Services,,Physiological Treatment - Outpatient,2,,,,,,,,,,2
Southwest Iowa MHDS,2021,41306,Community Living Support Services,,Physiological Treatment - Prescription Medicine/Vaccines,2,,,,,,,,,,2
Southwest Iowa MHDS,2021,42310,Community Living Support Services,,Psychotherapeutic Treatment - Transitional Living Program,47,1,,,,,,,,,48
Southwest Iowa MHDS,2021,42396,Community Living Support Services,,Psychotherapeutic Treatment - Community Support Programs,1,,,,,,,,,,1
Southwest Iowa MHDS,2021,42399,Community Living Support Services,,Psychotherapeutic Treatment - Other,,,1,,,,,,,,1
Southwest Iowa MHDS,2021,63329,Community Living Support Services,,Comm Based Settings (1-5 Bed) - Supported Community Livin,5,,,,,,,,,,5
Southwest Iowa MHDS,2021,64329,Congregate Services,,Comm Based Settings (6+ Beds) - Supported Community Livin,9,,1,,,,,,,,10
Southwest Iowa MHDS,2021,64XXX,Congregate Services,,ICF-6 and over beds,1,,,,,,,,,,1
Southwest Iowa MHDS,2021,64XXX,Congregate Services,,RCF-6 and over beds,76,2,2,,2,,,,,,82
